location,latitude,longitude,rainfall,prev_rainfall
Alluri Sitharama Raju - Forest,17.379983371926553,82.48074258119081,0.0,0.0
Alluri Sitharama Raju - Forest,17.341716515305365,82.10676785967702,0.0,0.0
Alluri Sitharama Raju - Forest,18.18939989674662,83.0549737625791,0.0,0.0
Alluri Sitharama Raju - Forest,14.389876700076895,78.11320179003886,0.0,0.0
Alluri Sitharama Raju - Forest,14.279400576197428,78.32985515014842,0.0,0.0
Alluri Sitharama Raju - Forest,14.287556475674778,78.17038219447551,0.0,0.0
Alluri Sitharama Raju - Forest,14.202433259391256,78.20124971098636,0.0,0.0
Alluri Sitharama Raju - Forest,14.186299874450812,78.04969899171134,0.0,0.0
Alluri Sitharama Raju - Forest,14.166279726015338,77.94599714923368,0.0,0.0
Alluri Sitharama Raju - Forest,14.12774501938081,78.34563786236595,0.0,0.0
Alluri Sitharama Raju - Forest,14.131804156641303,78.22277242095306,0.0,0.0
Alluri Sitharama Raju - Forest,14.069067570598888,78.1968749820981,0.0,0.0
Alluri Sitharama Raju - Forest,14.009082715062569,78.35273138298803,0.0,0.0
Alluri Sitharama Raju - Forest,14.019402708669144,77.91158041290224,0.0,0.0
Alluri Sitharama Raju - Forest,13.983722498805514,78.26864182280671,0.0,0.0
Alluri Sitharama Raju - Forest,13.941483015949329,78.24986307696267,0.0,0.0
Alluri Sitharama Raju - Forest,13.966130596831167,78.1049611808708,0.0,0.0
Alluri Sitharama Raju - Forest,13.964522100776898,77.90275381320295,0.0,0.0
Alluri Sitharama Raju - Forest,17.60544965614199,82.2127309892514,0.0,0.0
Alluri Sitharama Raju - Forest,17.51747388471715,82.26381401808334,0.0,0.0
Alluri Sitharama Raju - Forest,17.597206583891435,81.93739428744428,0.0,0.0
Alluri Sitharama Raju - Forest,17.47021549939586,81.94495051774939,0.0,0.0
Alluri Sitharama Raju - Forest,17.531749555837095,82.15063104808777,0.0,0.0
Alluri Sitharama Raju - Forest,17.49276272898967,81.84528685444226,0.0,0.0
Alluri Sitharama Raju - Forest,17.47867271531188,82.32576255034814,0.0,0.0
Alluri Sitharama Raju - Forest,17.42299728577993,81.62077198248123,0.0,0.0
Alluri Sitharama Raju - Forest,17.45324764900837,82.36326397131404,0.0,0.0
Alluri Sitharama Raju - Forest,17.441777564054874,82.17485437789874,0.0,0.0
Alluri Sitharama Raju - Forest,17.432234663009375,82.28971819912758,0.0,0.0
Alluri Sitharama Raju - Forest,17.413456477895295,82.11346556914735,0.0,0.0
Alluri Sitharama Raju - Forest,17.43096308918699,82.57520533074444,0.0,0.0
Alluri Sitharama Raju - Forest,17.421909549555856,82.4450310809312,0.0,0.0
Alluri Sitharama Raju - Forest,17.366304472687716,82.23077845143678,0.0,0.0
Alluri Sitharama Raju - Forest,17.42856919350279,82.3290833268054,0.0,0.0
Alluri Sitharama Raju - Forest,17.376700218300382,82.31887540926193,0.0,0.0
Alluri Sitharama Raju - Forest,17.370123700628632,81.99746177047804,0.0,0.0
Alluri Sitharama Raju - Forest,17.407907143748268,82.4406912971936,0.0,0.0
Alluri Sitharama Raju - Forest,17.38300876618472,82.03412039276932,0.0,0.0
Alluri Sitharama Raju - Forest,17.338654287943015,82.15722613932671,0.0,0.0
Alluri Sitharama Raju - Forest,17.369318896737543,81.81494287475778,0.0,0.0
Alluri Sitharama Raju - Forest,17.348423248284213,81.79514961721335,0.0,0.0
Alluri Sitharama Raju - Forest,17.31767909277925,82.30126481362495,0.0,0.0
Alluri Sitharama Raju - Forest,17.305018355547567,81.95059916427084,0.0,0.0
Alluri Sitharama Raju - Forest,17.313435337768283,81.78168658462654,0.0,0.0
Alluri Sitharama Raju - Forest,17.320078308673697,82.4186269013265,0.0,0.0
Alluri Sitharama Raju - Forest,17.265593632410976,81.7100764186992,0.0,0.0
Alluri Sitharama Raju - Forest,17.26614480761991,81.97941116096221,0.0,0.0
Alluri Sitharama Raju - Forest,17.27116747936239,82.30316318294481,0.0,0.0
Alluri Sitharama Raju - Forest,17.273491239728234,82.33983607930017,0.0,0.0
Alluri Sitharama Raju - Forest,17.257427358365593,82.32211548386086,0.0,0.0
Alluri Sitharama Raju - Forest,17.043739927856716,81.86419368852256,0.0,0.0
Alluri Sitharama Raju - Forest,17.0246161047113,81.82531092801219,0.0,0.0
Alluri Sitharama Raju - Forest,16.823470708229937,82.30785441637691,0.0,0.0
Alluri Sitharama Raju - Forest,17.917806366239308,81.90152132827627,0.0,0.0
Alluri Sitharama Raju - Forest,17.86151519954594,81.93181114118994,0.0,0.0
Alluri Sitharama Raju - Forest,17.676163656156927,81.89294818315035,0.0,0.0
Alluri Sitharama Raju - Forest,17.640084827161118,81.68917600575554,0.0,0.0
Alluri Sitharama Raju - Forest,17.481938972720744,82.07938102945462,0.0,0.0
Alluri Sitharama Raju - Forest,16.67266364746289,80.05073766273534,0.0,0.0
Alluri Sitharama Raju - Forest,16.687401154928384,79.76808490320175,0.0,0.0
Alluri Sitharama Raju - Forest,16.568094756354448,79.43908170940952,0.0,0.0
Alluri Sitharama Raju - Forest,16.473753184444938,79.28388940815164,0.0,0.0
Alluri Sitharama Raju - Forest,16.539099795808163,80.39775504787048,0.0,0.0
Alluri Sitharama Raju - Forest,16.50914624953144,80.39770186929907,0.0,0.0
Alluri Sitharama Raju - Forest,16.507916881750926,80.01734672593217,0.0,0.0
Alluri Sitharama Raju - Forest,16.473358906821613,80.58010371224624,0.0,0.0
Alluri Sitharama Raju - Forest,16.324617334105145,79.28024759961488,0.0,0.0
Alluri Sitharama Raju - Forest,16.42769107763368,79.97406862639694,0.0,0.0
Alluri Sitharama Raju - Forest,16.451464101877956,80.40343382116336,0.0,0.0
Alluri Sitharama Raju - Forest,16.445495262922577,80.58108971045135,0.0,0.0
Alluri Sitharama Raju - Forest,16.410489230531073,79.3602142685142,0.0,0.0
Alluri Sitharama Raju - Forest,16.39251858889323,79.69863205383315,0.0,0.0
Alluri Sitharama Raju - Forest,16.319251121376773,79.48186489670309,0.0,0.0
Alluri Sitharama Raju - Forest,16.359172678209617,79.8638318129321,0.0,0.0
Alluri Sitharama Raju - Forest,16.372287423057013,79.37713931416151,0.0,0.0
Alluri Sitharama Raju - Forest,16.362035540013963,79.7711715419386,0.0,0.0
Alluri Sitharama Raju - Forest,16.366779281248288,79.6848315629342,0.0,0.0
Alluri Sitharama Raju - Forest,16.208790018465443,79.63060711793149,0.0,0.0
Alluri Sitharama Raju - Forest,16.291478611331048,79.75389723333056,0.0,0.0
Alluri Sitharama Raju - Forest,16.25550570648726,80.2962401979356,0.0,0.0
Alluri Sitharama Raju - Forest,16.200715822867913,79.75199818561354,0.0,0.0
Alluri Sitharama Raju - Forest,16.100210414326334,79.70118432440569,0.0,0.0
Alluri Sitharama Raju - Forest,15.78062232274689,80.94034983458322,0.0,0.0
Alluri Sitharama Raju - Forest,16.742783892524763,80.56478479951312,0.0,0.0
Alluri Sitharama Raju - Forest,16.713832265966623,80.47488053073702,0.0,0.0
Alluri Sitharama Raju - Forest,16.665427281494505,80.50314939496452,0.0,0.0
Alluri Sitharama Raju - Forest,16.648115385275325,80.65748324493633,0.0,0.0
Alluri Sitharama Raju - Forest,17.557790010860067,82.43396377627623,0.0,0.0
Alluri Sitharama Raju - Forest,17.51694527065358,82.69128035411234,0.0,0.0
Alluri Sitharama Raju - Forest,17.434708320972742,82.65333836203101,0.0,0.0
Alluri Sitharama Raju - Forest,17.580766410926188,82.96086610856956,0.0,0.0
Alluri Sitharama Raju - Forest,17.66392887805838,82.49935194680832,0.0,0.0
Alluri Sitharama Raju - Forest,18.33785497248643,83.00642374541046,0.0,0.0
Alluri Sitharama Raju - Forest,18.322328441263764,82.77231679639974,0.0,0.0
Alluri Sitharama Raju - Forest,18.192585361734228,82.48525014571815,0.0,0.0
Alluri Sitharama Raju - Forest,18.03763934360215,82.6959401267272,0.0,0.0
